,MM,MR,MG,MI,MT,MP,MV,RM,RR,RG,RI,RT,RP,RV,GM,GR,GG,GI,GT,GP,GV,IM,IR,IG,II,IT,IP,IV,TM,TR,TG,TI,TT,TP,TV,PM,PR,PG,PI,PT,PP,PV,VM,VR,VG,VI,VT,VP,VV,fn,category
888,1,3,9,10,16,8,96,2,0,1,2,3,0,1,1,0,1,2,2,1,0,0,1,1,0,6,2,8,3,7,0,4,9,1,49,0,11,3,0,7,6,9,136,21,1,0,13,10,55,1fa16f1bbcfa2f8254bbc9b59af14ec2.opcodeSeq.txt,0
889,3046,2038,1737,4424,2659,1336,13717,698,0,389,121,392,55,583,1360,90,385,187,499,68,850,805,684,188,610,2504,266,3860,875,893,126,2621,2292,855,7716,197,1300,448,114,1247,2278,1676,22014,4286,2204,420,2535,1427,6178,0f050fb655e4624925d9d32582805601.opcodeSeq.txt,0
890,297,388,466,562,529,418,1812,100,0,47,56,118,8,154,175,67,56,218,378,41,409,123,140,198,237,681,158,856,165,267,81,936,1823,685,1353,141,390,329,160,667,1666,447,3459,628,578,140,448,630,786,0f87eb60d9872d40877c84b7af888b28.opcodeSeq.txt,0
891,152,14,7580,348,123,81,1410,210,0,1682,31,370,275,746,1371,3248,22055,3940,4303,3005,12104,39,24,3970,20,115,14,316,20,1,4502,130,115,14,510,10,0,3308,3,50,15,57,7906,27,6929,26,216,39,625,6009c8c4c66771c67357283b7d665dec.opcodeSeq.txt,0
892,1137,648,943,1799,1035,499,2930,150,0,223,54,198,26,176,378,55,117,92,289,34,254,498,313,55,360,1703,182,1514,250,263,86,1942,1061,340,3565,88,482,155,83,693,529,472,6472,1470,446,139,1186,554,1156,5cfeb9dabe032761ac0b5e671cc5ebab.opcodeSeq.txt,0
893,103,16,27,79,36,40,236,9,0,7,2,16,1,14,17,2,10,10,33,1,17,16,18,7,8,67,9,47,14,12,5,63,56,23,241,0,29,20,3,34,92,45,375,53,63,1,126,46,339,0b5697a9975bc9e978fc96a0333443c8.opcodeSeq.txt,0
894,443,258,432,814,460,265,1512,68,0,74,33,63,9,73,138,37,70,56,175,19,157,219,120,33,162,724,74,763,98,58,28,874,505,192,1510,43,183,77,21,305,238,250,3170,493,250,66,649,229,754,12d31f8b0dc89a3b196b56ce7ac23b89.opcodeSeq.txt,0
895,397,235,391,685,488,149,1574,53,0,63,28,51,9,61,141,28,64,49,141,19,115,167,109,28,137,683,72,632,83,60,16,805,488,193,1435,39,148,69,21,287,221,189,3033,489,184,57,567,202,732,4fd58e60c95708660cd35aa90f733248.opcodeSeq.txt,0
896,3130,2049,7922,8357,3097,2077,18672,1101,0,4283,263,1554,554,2346,2289,7966,84573,1313,7491,5914,12936,1093,1406,314,1325,4882,598,8001,549,646,5044,5127,3838,1754,12678,257,1291,6888,193,2178,5222,2273,37044,14705,10362,806,4671,1794,9195,0fb48dda4462519bb762930c82248b56.opcodeSeq.txt,0
897,1397,1383,854,1906,1555,957,7508,284,0,151,59,282,40,502,734,56,111,104,337,32,319,266,535,70,276,1491,207,1862,332,455,60,1582,1888,742,5281,69,766,259,80,1094,5918,1162,12485,3759,1382,273,1925,925,4296,ebc4aa7e93e1d82dba2accced7c68e40.opcodeSeq.txt,0
898,902,821,1014,2913,1639,1093,10504,338,0,104,69,277,26,388,881,79,259,236,2314,164,945,236,294,182,504,4951,435,2583,144,551,123,4927,19287,3839,7993,137,842,1365,62,3559,4337,1316,16244,1876,2943,290,3190,1010,5898,0e7856d1685a712cfa62f6f23957d89c.opcodeSeq.txt,0
899,379,99,169,393,631,572,1672,92,22,6,9,64,4,22,394,33,46,41,108,20,41,129,68,102,36,323,43,189,348,52,146,306,755,262,652,110,93,95,37,242,351,545,2444,360,114,32,194,124,234,1106d451a2330cb89f130543cfd26103.opcodeSeq.txt,0
900,3,1,19,29,8,6,90,6,0,2,0,0,0,4,19,0,1,1,0,0,8,1,3,0,0,7,2,31,1,2,0,11,2,1,29,0,2,0,0,4,6,9,128,18,17,3,21,1,33,40b9b7452534e13100d73a8f314392eb.opcodeSeq.txt,0
